BUREAU_DE_VOTE,IDBUREAU,INSCRITS,PROCURATIONS,VOTANTS,NULS,EXPRIMES,FOURAGE,COMBARNOUS,AYRAULT,BREUS,BLINEAU,JOZAN,DEFRANCE,FOURAGE_P,COMBARNOUS_P,AYRAULT_P,BREUS_P,BLINEAU_P,JOZAN_P,DEFRANCE_P
 0709 - Bureau de vote 0709,0709,923,1,465,10,455,23,5,308,3,15,93,8,5.0549450549,1.0989010989,67.6923076923,0.6593406593,3.2967032967,20.4395604396,1.7582417582
 0710 - Bureau de vote 0710,0710,827,6,415,8,407,27,4,290,11,18,52,5,6.6339066339,0.9828009828,71.2530712531,2.7027027027,4.4226044226,12.7764127764,1.2285012285
 0711 - Bureau de vote 0711,0711,763,15,522,10,512,14,5,274,6,34,175,4,2.734375,0.9765625,53.515625,1.171875,6.640625,34.1796875,0.78125
 0712 - Bureau de vote 0712,0712,841,2,463,8,455,21,6,276,6,34,108,4,4.6153846154,1.3186813187,60.6593406593,1.3186813187,7.4725274725,23.7362637363,0.8791208791
 0713 - Bureau de vote 0713,0713,1064,19,652,14,638,20,14,310,9,61,218,6,3.1347962382,2.1943573668,48.5893416928,1.4106583072,9.5611285266,34.1692789969,0.9404388715
 0714 - Bureau de vote 0714,0714,732,12,398,7,391,15,10,226,3,31,102,4,3.8363171355,2.557544757,57.800511509,0.7672634271,7.9283887468,26.0869565217,1.0230179028
 0715 - Bureau de vote 0715,0715,772,16,464,6,458,13,6,267,7,43,113,9,2.8384279476,1.3100436681,58.2969432314,1.5283842795,9.3886462882,24.672489083,1.9650655022
 0801 - Bureau de vote 0801,0801,714,1,390,11,379,9,6,242,6,19,84,13,2.3746701847,1.5831134565,63.8522427441,1.5831134565,5.0131926121,22.1635883905,3.4300791557
 0802 - Bureau de vote 0802,0802,738,1,345,2,343,16,2,242,4,8,64,7,4.6647230321,0.583090379,70.5539358601,1.166180758,2.332361516,18.6588921283,2.0408163265
 0803 - Bureau de vote 0803,0803,764,10,428,8,420,12,4,255,8,29,108,4,2.8571428571,0.9523809524,60.7142857143,1.9047619048,6.9047619048,25.7142857143,0.9523809524
