X,Y,Z,IDOBJ,IDBURO,NUMERO,LIEU_VOT,LIEU_NOM,LIEU_SITE,LIEU_ADRES,CODCOM,COMMUNE,inscrits,2444004040,24440040_1,24440040_2,24440040_3,24440040_4,24440040_5,24440040_6,24440040_7,24440040_8,24440040_9,2444004010,2444004011,2444004012,2444004013,2444004014,2444004015,2444004016,2444004017,2444004018,2444004019
-1.532324836762173,47.205144835149369,0, 1090312,0312,12,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,557,0312 - Bureau de vote 0312,925,13,557,15,542,19,10,311,5,33,155,9,3.5055350554,1.8450184502,57.3800738007,0.9225092251,6.0885608856,28.5977859779,1.6605166052
-1.538820155193356,47.203836483962029,0, 1090313,0313,13,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,463,0313 - Bureau de vote 0313,820,6,463,6,457,15,4,262,8,32,127,9,3.2822757112,0.875273523,57.3304157549,1.750547046,7.0021881838,27.7899343545,1.9693654267
-1.540252677354913,47.201496941220583,0, 1090314,0314,14,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,473,0314 - Bureau de vote 0314,828,10,473,8,465,16,7,278,0,19,133,12,3.4408602151,1.5053763441,59.7849462366,0,4.0860215054,28.6021505376,2.5806451613
-1.53911226650436,47.207939530985172,0, 1090315,0315,15,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,424,0315 - Bureau de vote 0315,919,5,424,5,419,20,8,250,5,20,103,13,4.7732696897,1.9093078759,59.6658711217,1.1933174224,4.7732696897,24.5823389021,3.1026252983
-1.546703789634719,47.200402302679592,0, 1090316,0316,16,18,Gustave Roch,Ecole Maternelle,24 Boulevard Gustave Roch,  440109,Nantes,425,0316 - Bureau de vote 0316,800,10,425,9,416,20,11,245,2,34,96,8,4.8076923077,2.6442307692,58.8942307692,0.4807692308,8.1730769231,23.0769230769,1.9230769231
-1.547127303548976,47.203969545051997,0, 1090317,0317,17,18,Gustave Roch,Ecole Maternelle,24 Boulevard Gustave Roch,  440109,Nantes,400,0317 - Bureau de vote 0317,767,3,400,8,392,27,7,270,4,20,53,11,6.887755102,1.7857142857,68.8775510204,1.0204081633,5.1020408163,13.5204081633,2.806122449
-1.562290724594473,47.201168501173605,0, 1090318,0318,18,18,Gustave Roch,Ecole Maternelle,24 Boulevard Gustave Roch,  440109,Nantes,301,0318 - Bureau de vote 0318,638,3,301,0,301,22,9,191,4,16,50,9,7.3089700997,2.9900332226,63.4551495017,1.3289036545,5.3156146179,16.6112956811,2.9900332226
-1.560013088632539,47.206416966369645,0, 1090319,0319,19,18,Gustave Roch,Ecole Maternelle,24 Boulevard Gustave Roch,  440109,Nantes,515,0319 - Bureau de vote 0319,1187,9,515,14,501,29,16,346,5,26,67,12,5.7884231537,3.1936127745,69.0618762475,0.998003992,5.1896207585,13.373253493,2.3952095808
-1.548639424059004,47.210843705928141,0, 1090320,0320,20,16,Emile Phant,Ecole Elementaire,24 Rue Emile Phant,  440109,Nantes,375,0320 - Bureau de vote 0320,838,7,375,5,370,29,30,225,4,18,57,7,7.8378378378,8.1081081081,60.8108108108,1.0810810811,4.8648648649,15.4054054054,1.8918918919
-1.527157284891845,47.206835570613272,0, 1090321,0321,21,17,Louise Michel,Ecole Maternelle,21 Rue Paul Ramadier,  440109,Nantes,411,0321 - Bureau de vote 0321,910,7,411,10,401,18,6,242,7,35,82,11,4.4887780549,1.4962593516,60.349127182,1.7456359102,8.7281795511,20.4488778055,2.7431421446
-1.561950777223672,47.21538893233398,0, 1090401,0401, 1,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,399,0401 - Bureau de vote 0401,832,12,399,6,393,17,9,155,1,36,171,4,4.3256997455,2.2900763359,39.4402035623,0.2544529262,9.1603053435,43.5114503817,1.0178117048
-1.564511226395391,47.217044440520972,0, 1090402,0402, 2,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,492,0402 - Bureau de vote 0402,851,27,492,11,481,6,11,144,1,32,283,4,1.2474012474,2.2869022869,29.9376299376,0.2079002079,6.6528066528,58.8357588358,0.8316008316
-1.567393121558467,47.218423855119305,0, 1090403,0403, 3,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,516,0403 - Bureau de vote 0403,887,23,516,18,498,19,6,145,2,30,291,5,3.8152610442,1.2048192771,29.1164658635,0.4016064257,6.0240963855,58.4337349398,1.0040160643
-1.567081788146195,47.220510405353387,0, 1090404,0404, 4,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,531,0404 - Bureau de vote 0404,903,28,531,15,516,17,6,162,3,33,290,5,3.2945736434,1.1627906977,31.3953488372,0.5813953488,6.3953488372,56.2015503876,0.9689922481
-1.573032295251624,47.221616038332719,0, 1090405,0405, 5,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,655,0405 - Bureau de vote 0405,1153,40,655,16,639,4,9,179,4,45,395,3,0.6259780908,1.4084507042,28.0125195618,0.6259780908,7.0422535211,61.8153364632,0.4694835681
-1.580271226689569,47.223557592299102,0, 1090406,0406, 6,19,Harouys,Ecole Maternelle,24 Rue Deshoulires,  440109,Nantes,439,0406 - Bureau de vote 0406,812,7,439,11,428,8,8,115,3,35,254,5,1.8691588785,1.8691588785,26.8691588785,0.7009345794,8.1775700935,59.3457943925,1.1682242991
-1.583250192847429,47.212391500298438,0, 1090407,0407, 7,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,608,0407 - Bureau de vote 0407,1076,5,608,9,599,25,13,338,6,37,176,4,4.1736227045,2.1702838063,56.4273789649,1.0016694491,6.1769616027,29.3823038397,0.6677796327
-1.580948893469295,47.214518401030368,0, 1090408,0408, 8,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,640,0408 - Bureau de vote 0408,1142,26,640,15,625,22,9,348,4,28,203,11,3.52,1.44,55.68,0.64,4.48,32.48,1.76
-1.578397439593335,47.217614861089821,0, 1090409,0409, 9,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,556,0409 - Bureau de vote 0409,954,17,556,4,552,12,8,232,5,48,244,3,2.1739130435,1.4492753623,42.0289855072,0.9057971014,8.6956521739,44.2028985507,0.5434782609
-1.585008843546879,47.216624045193541,0, 1090410,0410,10,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,500,0410 - Bureau de vote 0410,883,15,500,8,492,24,3,280,2,36,143,4,4.8780487805,0.6097560976,56.9105691057,0.406504065,7.3170731707,29.0650406504,0.8130081301
-1.576026723249392,47.217431566842912,0, 1090411,0411,11,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,570,0411 - Bureau de vote 0411,938,23,570,8,562,16,7,218,2,34,285,0,2.846975089,1.2455516014,38.7900355872,0.3558718861,6.0498220641,50.7117437722,0
-1.580813827676882,47.219732005508696,0, 1090412,0412,12,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,537,0412 - Bureau de vote 0412,905,8,537,11,526,10,4,241,7,40,219,5,1.9011406844,0.7604562738,45.8174904943,1.3307984791,7.6045627376,41.6349809886,0.9505703422
-1.584207994791415,47.2199941648188,0, 1090413,0413,13,20,Fraternit,Ecole Primaire,24 Boulevard de la Fraternit,  440109,Nantes,611,0413 - Bureau de vote 0413,1037,39,611,13,598,13,9,280,2,41,251,2,2.1739130435,1.5050167224,46.8227424749,0.3344481605,6.856187291,41.9732441472,0.3344481605
-1.571413478133666,47.215449091020808,0, 1090414,0414,14,21,Boccage,Ecole Primaire,22B Rue Marie-Anne du Boccage,  440109,Nantes,562,0414 - Bureau de vote 0414,955,17,562,5,557,9,5,183,5,57,290,8,1.6157989228,0.8976660682,32.8545780969,0.8976660682,10.2333931777,52.0646319569,1.4362657092
